v;angle;omega;lift;moment
0;0.0;1000;-0.07913565012517176;-1.9533038857550523e-05
0;0.0;1400;-0.15514492473299213;-3.782592283513591e-05
0;0.0;1700;-0.22897061960272297;-5.557648722718501e-05
0;0.0;1900;-0.28584259808877605;-6.883188508910476e-05
0;0.0;2000;-0.31655280535676733;-7.572148210831437e-05
1;1.3962634015954636;1000;-0.08007166606444244;-1.556135506001198e-05
1;1.3962634015954636;1400;-0.15682783329546846;-2.8598041178926906e-05
1;1.3962634015954636;1700;-0.2309687733184413;-4.150761689146266e-05
1;1.3962634015954636;1900;-0.2883089343646264;-5.142102860355179e-05
1;1.3962634015954636;2000;-0.3193411289276218;-5.668938531620065e-05
1;1.4835298641951802;1000;-0.08006530226318578;-1.5110978872763705e-05
1;1.4835298641951802;1400;-0.15683623855690737;-2.865476051554598e-05
1;1.4835298641951802;1700;-0.2309922363347007;-4.2355922232945674e-05
1;1.4835298641951802;1900;-0.2883216890616072;-5.2349560319897275e-05
1;1.4835298641951802;2000;-0.3193592930478014;-5.762254711219569e-05
1;1.5707963267948966;1000;-0.08006045273866799;-1.399517292274095e-05
1;1.5707963267948966;1400;-0.15683510199318373;-2.8557382346183564e-05
1;1.5707963267948966;1700;-0.23099651623827624;-4.2705528483075354e-05
1;1.5707963267948966;1900;-0.2883188154980695;-5.337829409654401e-05
1;1.5707963267948966;2000;-0.31935653492218924;-5.95801383622483e-05
2;1.3962634015954636;1000;-0.07954181297329871;-1.801266461985097e-05
2;1.3962634015954636;1400;-0.15649981631681614;-3.028226380280572e-05
2;1.3962634015954636;1700;-0.23124705998312783;-4.708622798658545e-05
2;1.3962634015954636;1900;-0.288989501543298;-5.7247569609323483e-05
2;1.3962634015954636;2000;-0.32019583324703327;-6.209883280553516e-05
2;1.4835298641951802;1000;-0.07951477055919723;-1.581395946985625e-05
2;1.4835298641951802;1400;-0.15647619195889026;-2.8630839329975322e-05
2;1.4835298641951802;1700;-0.2312115054643356;-4.550472917815353e-05
2;1.4835298641951802;1900;-0.2889559886534667;-5.4251541472490603e-05
2;1.4835298641951802;2000;-0.32016322576667644;-6.109850825058443e-05
2;1.5707963267948966;1000;-0.07951036312440785;-1.269510997530256e-05
2;1.5707963267948966;1400;-0.15647431568379133;-2.666318247550184e-05
2;1.5707963267948966;1700;-0.23121262200814774;-3.953297984021897e-05
2;1.5707963267948966;1900;-0.288949227199628;-5.1028519260619346e-05
2;1.5707963267948966;2000;-0.320142771667682;-5.730661928167901e-05
3;1.3962634015954636;1000;-0.078043534908019;-1.9556441440694986e-05
3;1.3962634015954636;1400;-0.15560267809517436;-3.5267907778570893e-05
3;1.3962634015954636;1700;-0.23033577807575706;-4.8348027984016456e-05
3;1.3962634015954636;1900;-0.2880283947559247;-5.852269143464484e-05
3;1.3962634015954636;2000;-0.31925003005874375;-6.342532011437783e-05
3;1.4835298641951802;1000;-0.07797047789906403;-1.5180165309744726e-05
3;1.4835298641951802;1400;-0.15554246943181765;-3.1135077545194766e-05
3;1.4835298641951802;1700;-0.2302801966612252;-4.1337659187548975e-05
3;1.4835298641951802;1900;-0.2880116483615229;-5.515952845338952e-05
3;1.4835298641951802;2000;-0.31922030633578785;-5.7560835964189376e-05
3;1.5707963267948966;1000;-0.077965492142054;-1.068341117850313e-05
3;1.5707963267948966;1400;-0.15554239795116503;-2.429074294789787e-05
3;1.5707963267948966;1700;-0.23028582248963086;-3.773482666873016e-05
3;1.5707963267948966;1900;-0.2880050829570369;-4.951902451945267e-05
3;1.5707963267948966;2000;-0.31923023027907477;-5.2745475982066096e-05
4;1.3962634015954636;1000;-0.07564640589411242;-1.8064756387327028e-05
4;1.3962634015954636;1400;-0.1535121183234654;-3.806525746628258e-05
4;1.3962634015954636;1700;-0.22869132938699185;-5.372118098245127e-05
4;1.3962634015954636;1900;-0.2867125621520976;-6.444777496036248e-05
4;1.3962634015954636;2000;-0.3180919945803391;-6.935270128560764e-05
4;1.4835298641951802;1000;-0.07548854082997161;-1.3078169112164755e-05
4;1.4835298641951802;1400;-0.15334774129832876;-3.0348944726209156e-05
4;1.4835298641951802;1700;-0.22856209499090854;-4.908217626209792e-05
4;1.4835298641951802;1900;-0.28659524857851393;-5.236684206749388e-05
4;1.4835298641951802;2000;-0.3179695668478405;-5.914381597219307e-05
4;1.5707963267948966;1000;-0.07552518587563166;-7.357418453335917e-06
4;1.5707963267948966;1400;-0.15335860142274435;-2.058182059161091e-05
4;1.5707963267948966;1700;-0.2285646917317144;-3.3335462069260396e-05
4;1.5707963267948966;1900;-0.28662305519107456;-3.913434894581424e-05
4;1.5707963267948966;2000;-0.31797443664173886;-5.240612710557153e-05
5;1.3962634015954636;1000;-0.0725215602285713;-1.5046257890626905e-05
5;1.3962634015954636;1400;-0.15046979601767985;-3.6809765809550125e-05
5;1.3962634015954636;1700;-0.2258803152608189;-5.60375222523886e-05
5;1.3962634015954636;1900;-0.28415354548992233;-6.923336149855774e-05
5;1.3962634015954636;2000;-0.3156862307979847;-7.565881255427017e-05
5;1.4835298641951802;1000;-0.07220236813621808;-8.595849603068648e-06
5;1.4835298641951802;1400;-0.1502302604142077;-2.705897376191915e-05
5;1.4835298641951802;1700;-0.2256354115040426;-4.448771195984298e-05
5;1.4835298641951802;1900;-0.2839151823394813;-5.500031634142475e-05
5;1.4835298641951802;2000;-0.31548036096201193;-6.06814339046042e-05
5;1.5707963267948966;1000;-0.07241191386458154;-7.165111635649025e-07
5;1.5707963267948966;1400;-0.1502437417408491;-1.539619850452713e-05
5;1.5707963267948966;1700;-0.22567144582887377;-3.373400995792134e-05
