v;angle;omega;lift;moment
1;-1.3962634015954636;1000;-0.07937044694838107;-2.0614512325947097e-05
1;-1.3962634015954636;1400;-0.1557019720209527;-4.106367272314609e-05
1;-1.3962634015954636;1700;-0.2295403208325176;-5.50613770985151e-05
1;-1.3962634015954636;1900;-0.286773246096681;-6.924351280828602e-05
1;-1.3962634015954636;2000;-0.3178499658137296;-7.945971060806677e-05
1;-1.4835298641951802;1000;-0.07905696871783228;-2.421275943296362e-05
1;-1.4835298641951802;1400;-0.15521729994059905;-4.568404428669424e-05
1;-1.4835298641951802;1700;-0.22880700484827704;-6.085583224571112e-05
1;-1.4835298641951802;1900;-0.2858019706921714;-7.45556103435771e-05
1;-1.4835298641951802;2000;-0.3167841475832533;-8.362454629391248e-05
1;-1.5707963267948966;1000;-0.07873128277230602;-2.333059738523143e-05
1;-1.5707963267948966;1400;-0.1547967613140604;-4.4437435704910724e-05
1;-1.5707963267948966;1700;-0.22827757355361905;-6.301164721668966e-05
1;-1.5707963267948966;1900;-0.28509727120172357;-7.580994094399883e-05
1;-1.5707963267948966;2000;-0.31586885367845197;-8.27061652783152e-05
2;-1.3962634015954636;1000;-0.07911565277994703;-2.321299860418938e-05
2;-1.3962634015954636;1400;-0.15562084380418856;-4.808907442017717e-05
2;-1.3962634015954636;1700;-0.22918899336489534;-6.072298457773235e-05
2;-1.3962634015954636;1900;-0.2863852410397499;-7.498225374397716e-05
2;-1.3962634015954636;2000;-0.3175121977301361;-8.430236309270149e-05
2;-1.4835298641951802;1000;-0.07797830890534396;-1.8307868662466495e-05
2;-1.4835298641951802;1400;-0.1544215438492087;-4.667037212432404e-05
2;-1.4835298641951802;1700;-0.22806761335473463;-7.103279318059436e-05
2;-1.4835298641951802;1900;-0.2851873125337999;-8.958331536289159e-05
2;-1.4835298641951802;2000;-0.3161193153612698;-9.897405544767533e-05
2;-1.5707963267948966;1000;-0.07825904060573227;-3.8222209277978005e-05
2;-1.5707963267948966;1400;-0.15324920683436138;-4.393380400054972e-05
2;-1.5707963267948966;1700;-0.2276146377133202;-7.269655201272692e-05
2;-1.5707963267948966;1900;-0.2845576681353375;-8.716779393372295e-05
2;-1.5707963267948966;2000;-0.31537983084758525;-9.524549730690005e-05
3;-1.3962634015954636;1000;-0.07855492756910451;-1.9222921281191106e-05
3;-1.3962634015954636;1400;-0.1551910213166427;-5.0820709601868006e-05
3;-1.3962634015954636;1700;-0.2293093858404637;-7.542499113590321e-05
3;-1.3962634015954636;1900;-0.2864949411093032;-9.035944729536327e-05
3;-1.3962634015954636;2000;-0.3174858596888926;-9.790340686304457e-05
3;-1.4835298641951802;1000;-0.07742115516489587;-1.6194309834133455e-05
3;-1.4835298641951802;1400;-0.1527969771223981;-3.5955736941873983e-05
3;-1.4835298641951802;1700;-0.2263397667282678;-5.7717964685707005e-05
3;-1.4835298641951802;1900;-0.2837318120907064;-7.692130117057896e-05
3;-1.4835298641951802;2000;-0.31488841920756805;-9.069767182686938e-05
3;-1.5707963267948966;1000;-0.07768544494529839;-6.32690737763244e-05
3;-1.5707963267948966;1400;-0.1531882610298162;-7.930937208224558e-05
3;-1.5707963267948966;1700;-0.22655302935701074;-9.66678875642069e-05
3;-1.5707963267948966;1900;-0.28266160774171156;-9.736824943123299e-05
3;-1.5707963267948966;2000;-0.3126745641366274;-8.773248970996486e-05
4;-1.3962634015954636;1000;-0.0783336005196753;-2.3194525539997126e-05
4;-1.3962634015954636;1400;-0.15452981747850636;-4.633184185861559e-05
4;-1.3962634015954636;1700;-0.22885486357735418;-8.010944837867672e-05
4;-1.3962634015954636;1900;-0.28608215826261807;-9.860904911480911e-05
4;-1.3962634015954636;2000;-0.3171119442131043;-0.00010797196560305205
4;-1.4835298641951802;1000;-0.07788773489226639;-3.6266172106963956e-05
4;-1.4835298641951802;1400;-0.15219093375138348;-3.97367017058378e-05
4;-1.4835298641951802;1700;-0.2244708897244172;-4.3285012129803526e-05
4;-1.4835298641951802;1900;-0.28141992439601454;-6.820205548166323e-05
4;-1.4835298641951802;2000;-0.31272786687536813;-8.762720663366087e-05
4;-1.5707963267948966;1000;-0.07683852637356706;-8.47166805967619e-05
4;-1.5707963267948966;1400;-0.15307615601341276;-0.00010884907027303735
4;-1.5707963267948966;1700;-0.22551124923806815;-0.0001241401658419557
4;-1.5707963267948966;1900;-0.28224409569940334;-0.0001355442549887955
4;-1.5707963267948966;2000;-0.31350031229995456;-0.00015090223298781975
5;-1.3962634015954636;1000;-0.07823098200451034;-2.886466333801329e-05
5;-1.3962634015954636;1400;-0.15402246140282494;-4.407919514435033e-05
5;-1.3962634015954636;1700;-0.22803231641310595;-7.341440520108769e-05
5;-1.3962634015954636;1900;-0.2853255560014302;-9.678386210094247e-05
5;-1.3962634015954636;2000;-0.3164681144839556;-0.0001091332339703175
5;-1.4835298641951802;1000;-0.07692556676039805;-6.682742674696755e-05
5;-1.4835298641951802;1400;-0.1523437857497568;-6.736184649161378e-05
5;-1.4835298641951802;1700;-0.2244955543652174;-7.1028495156705e-05
5;-1.4835298641951802;1900;-0.2801230391295467;-6.345728941553777e-05
5;-1.4835298641951802;2000;-0.31045765057019076;-6.444668267518944e-05
5;-1.5707963267948966;1000;-0.07445609599316627;-0.00010795173370739775
5;-1.5707963267948966;1400;-0.1504411760678673;-0.00017690338447982939
5;-1.5707963267948966;1700;-0.22538128531254906;-0.0001743014145469718
5;-1.5707963267948966;1900;-0.28142618755204246;-0.00017443616920330434
5;-1.5707963267948966;2000;-0.31184534091030514;-0.00017283592041861197
