v;angle;omega;lift;moment
1;0.0;1000;-0.07889012881636334;4.037167481311077e-06
1;0.0;1400;-0.15499900254538065;2.3531217595412433e-06
1;0.0;1700;-0.22868522832589944;-2.0734122272864783e-06
1;0.0;1900;-0.28573319074989667;-7.238116411156833e-06
1;0.0;2000;-0.31662467419183193;-1.1147777829855121e-05
1;0.8;1000;-0.08000885647385902;-1.580291188752345e-05
1;0.8;1400;-0.15648961192108465;-2.5117346601126303e-05
1;0.8;1700;-0.23050976569682902;-3.3984930667592395e-05
1;0.8;1900;-0.28777007634844864;-4.113901044792657e-05
1;0.8;2000;-0.318774481125237;-4.557018839939176e-05
1;0.16;1000;-0.0792979845864249;-3.588243904350559e-06
1;0.16;1400;-0.1554344060972124;-6.3417225232288525e-06
1;0.16;1700;-0.22919377597332752;-1.2554185161667539e-05
1;0.16;1900;-0.28628935392308325;-1.8768226662149567e-05
1;0.16;2000;-0.31721196933433893;-2.2469720665181513e-05
1;-0.8;1000;-0.07379477036266455;6.53381287117037e-05
1;-0.8;1400;-0.1475537897888417;0.00010136502559568745
1;-0.8;1700;-0.22558792194880128;1.5090161538106826e-05
1;-0.8;1900;-0.27810279057261045;2.5715493853999267e-05
1;-0.8;2000;-0.3065734443097522;3.286828934594144e-05
1;-0.16;1000;-0.07776190018602555;3.5478602087558976e-05
1;-0.16;1400;-0.1545297803944187;1.2455295902010836e-05
1;-0.16;1700;-0.2281944133744909;8.29528431816785e-06
1;-0.16;1900;-0.28519270194912905;2.8286406061837194e-06
1;-0.16;2000;-0.3160701688847798;-2.7125184796079633e-08
2;0.0;1000;-0.07776017840757149;3.0890386341717784e-05
2;0.0;1400;-0.15196967641634046;7.592798723303967e-05
2;0.0;1700;-0.22686430543500447;3.26006156464028e-05
2;0.0;1900;-0.2844495220211376;1.8884444755978856e-05
2;0.0;2000;-0.31539719076528816;1.8257437334381445e-05
2;0.8;1000;-0.08032689834766718;-3.400271894250037e-05
2;0.8;1400;-0.1571465666186618;-4.469890317224365e-05
2;0.8;1700;-0.23139410600855886;-5.3586041444916074e-05
2;0.8;1900;-0.28885443661392673;-5.948682695666545e-05
2;0.8;2000;-0.31995220383297907;-6.315435738704049e-05
2;0.16;1000;-0.07965624900326879;-1.284570708492089e-05
2;0.16;1400;-0.1554829076557031;-1.3957939534185364e-05
2;0.16;1700;-0.2291279937053483;-1.3728184291757034e-05
2;0.16;1900;-0.28620284311396244;-1.421182307245191e-05
2;0.16;2000;-0.31713382082262054;-1.461248706297444e-05
2;-0.8;1000;-0.07840028130544216;3.317192016839786e-05
2;-0.8;1400;-0.1411179650198921;0.00028550529707909903
2;-0.8;1700;-0.21829454379180918;0.00018149003528152702
2;-0.8;1900;-0.2690007038173926;0.00028490758898049083
2;-0.8;2000;-0.30361357937539646;0.00025970461433130754
2;-0.16;1000;-0.07631288022680527;5.257769897836139e-05
2;-0.16;1400;-0.1455581317076039;0.0001317062565007888
2;-0.16;1700;-0.21771692015781852;0.0002495239029698934
2;-0.16;1900;-0.27536196981728306;0.00025030350311755587
2;-0.16;2000;-0.30746281666603387;0.00023480347647993397
3;0.0;1000;-0.07948854566462787;1.2606238462124491e-06
3;0.0;1400;-0.1535997377016607;5.22954142809242e-05
3;0.0;1700;-0.2222119948724554;0.00015365672053206002
3;0.0;1900;-0.2787521446340119;0.0001638092593361369
3;0.0;2000;-0.30962403827535967;0.00016933057991660994
3;0.8;1000;-0.08032890556933826;-5.0349813940459806e-05
3;0.8;1400;-0.15745959316684524;-7.146155799080632e-05
3;0.8;1700;-0.23198730815118146;-8.472450690955236e-05
3;0.8;1900;-0.28959584826326856;-9.222597973851423e-05
3;0.8;2000;-0.32077628831010063;-9.609112279048345e-05
3;0.16;1000;-0.08105615093226023;-3.331361150026652e-05
3;0.16;1400;-0.1563697232632271;-2.878416193374402e-05
3;0.16;1700;-0.2296447417017638;-2.9034717975569853e-05
3;0.16;1900;-0.28654883191089997;-3.1148907906603096e-05
3;0.16;2000;-0.3173691839803693;-3.103203948089316e-05
3;-0.8;1000;-0.08024384537882716;-3.9075288700939316e-05
3;-0.8;1400;-0.1613787331062314;0.00010213939655324266
3;-0.8;1700;-0.21133070453989425;0.00018697127364917545
3;-0.8;1900;-0.26129889228838044;0.0002184156806448563
3;-0.8;2000;-0.28567182604622443;0.0002579043714064185
3;-0.16;1000;-0.07825739442855639;6.252986015530855e-05
3;-0.16;1400;-0.14937403726239679;0.00011951357165244175
3;-0.16;1700;-0.21416650570296997;0.0002340237483664058
3;-0.16;1900;-0.27038768146351466;0.00018555295481062966
3;-0.16;2000;-0.29698798803168913;0.0002549340557739541
4;0.0;1000;-0.08197529378547802;-9.20635107444602e-06
4;0.0;1400;-0.15351761566337946;3.9276906196623296e-05
4;0.0;1700;-0.2267210061168786;7.522117516953406e-05
4;0.0;1900;-0.2814594903703389;0.00012523685729993827
4;0.0;2000;-0.31015443414313093;0.00016288344728360653
4;0.8;1000;-0.08001193410558965;-6.43968821953644e-05
4;0.8;1400;-0.1574360528653625;-9.356569579800206e-05
4;0.8;1700;-0.23204579172491024;-0.00011172779060338625
4;0.8;1900;-0.2899865561573;-0.0001290320712593245
4;0.8;2000;-0.3212405308593357;-0.00013517465442946462
4;0.16;1000;-0.08238409803765179;-5.34814626025146e-05
4;0.16;1400;-0.15837077565560295;-5.7256660661910685e-05
