v;angle;omega;lift;moment
1;0.08;1000;-0.07912398477064872;-5.195570796080307e-07
1;0.08;1400;-0.15521959720218503;-2.2331287633268837e-06
1;0.08;1700;-0.22894184095579984;-7.636389663476852e-06
1;0.08;1900;-0.2860128285564885;-1.3720892688019544e-05
1;0.08;2000;-0.3169217672581701;-1.6850348667673045e-05
1;-0.08;1000;-0.07858244315976871;1.0371012082385859e-05
1;-0.08;1400;-0.1547658587305607;6.955466294509134e-06
1;-0.08;1700;-0.22842270936808817;3.2982536743920455e-06
1;-0.08;1900;-0.28543249563925216;-1.6828252884219084e-06
1;-0.08;2000;-0.3163211614457607;-5.2200552108199204e-06
2;0.08;1000;-0.07791272548899014;7.962715226185343e-06
2;0.08;1400;-0.15484127063229514;-2.6518384447164042e-06
2;0.08;1700;-0.22836418985819074;4.899678942328983e-07
2;0.08;1900;-0.2854521824817074;-6.433028165196042e-07
2;0.08;2000;-0.3163919796047847;-1.5980367797314065e-06
2;-0.08;1000;-0.07579692704209559;7.04945218978534e-05
2;-0.08;1400;-0.1498984745023213;0.00010639425588342895
2;-0.08;1700;-0.22073322259959785;0.0001912788884781723
2;-0.08;1900;-0.28245102465518834;6.45270739662119e-05
2;-0.08;2000;-0.3138285615705736;5.3388193262821393e-05
3;0.08;1000;-0.07907728541031986;-7.333272492647409e-07
3;0.08;1400;-0.15191971061068604;2.245748455580586e-05
3;0.08;1700;-0.22599276899199575;3.003499450804016e-05
3;0.08;1900;-0.2839106112104456;1.1220964221558091e-05
3;0.08;2000;-0.3155795418166374;-6.159244510041095e-07
3;-0.08;1000;-0.0789122169144888;3.868866174742955e-05
3;-0.08;1400;-0.15156626444580656;8.323841224357973e-05
3;-0.08;1700;-0.21541654555406536;0.00021529623109916673
3;-0.08;1900;-0.2715259067895305;0.00017504475213622907
3;-0.08;2000;-0.30066548020511097;0.00027779114754010426
4;0.08;1000;-0.08155427782887714;-3.5350234785173825e-05
4;0.08;1400;-0.15315859676934923;1.159528472345907e-05
4;0.08;1700;-0.22220327356944158;4.0574421217492616e-05
4;0.08;1900;-0.27983834810283637;5.3880316904629064e-05
4;0.08;2000;-0.31080705355650534;6.150731772927456e-05
4;-0.08;1000;-0.08207793698096588;2.2835884899534894e-05
4;-0.08;1400;-0.1537589691406624;7.066052568569333e-05
4;-0.08;1700;-0.22646600747337764;0.00010535693615551605
4;-0.08;1900;-0.27675688786559327;0.0001878435087863979
4;-0.08;2000;-0.30443604558161214;0.00024431864039241974
5;0.08;1000;-0.08299759566779713;-4.8506155985806756e-05
5;0.08;1400;-0.15864482309230432;-5.534994674011281e-05
5;0.08;1700;-0.2265306579785906;1.3415202373054605e-05
5;0.08;1900;-0.2785481726598403;4.1308603287514364e-05
5;0.08;2000;-0.306997514607319;5.3753291697131305e-05
5;-0.08;1000;-0.08345528638428891;5.345980176603676e-05
5;-0.08;1400;-0.16022123913655656;1.927567629130927e-05
5;-0.08;1700;-0.22774164395911425;9.125143813153867e-05
5;-0.08;1900;-0.28129717069717225;0.00015344850075003149
5;-0.08;2000;-0.3125147020566818;0.0001637990563520164
